"fund_name","company_name"
"ICICI Prudential Bluechip Fund","Coal India Ltd."
"ICICI Prudential Bluechip Fund","Reliance Industries Ltd."
"ICICI Prudential Bluechip Fund","HDFC Bank Ltd."
"ICICI Prudential Bluechip Fund","Lupin Ltd."
"ICICI Prudential Bluechip Fund","Avenue Supermarts Ltd."
"ICICI Prudential Bluechip Fund","Siemens Ltd."
"ICICI Prudential Bluechip Fund","United Breweries Ltd."
"ICICI Prudential Bluechip Fund","United Spirits Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","Sun Pharmaceuticals Industries Ltd."
"ICICI Prudential Bluechip Fund","Hero MotoCorp Ltd."
"ICICI Prudential Bluechip Fund","Power Grid Corporation of India Ltd."
"ICICI Prudential Bluechip Fund","Nifty 50 Index"
"ICICI Prudential Bluechip Fund","SBI Life Insurance Co. Ltd."
"ICICI Prudential Bluechip Fund","Procter & Gamble Hygiene and Health Care Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Aeronautics Ltd."
"ICICI Prudential Bluechip Fund","Mahindra & Mahindra Ltd."
"ICICI Prudential Bluechip Fund","Cummins India Ltd."
"ICICI Prudential Bluechip Fund","Grasim Industries Ltd."
"ICICI Prudential Bluechip Fund","Aurobindo Pharma Ltd."
"ICICI Prudential Bluechip Fund","Bajaj Auto Ltd."
"ICICI Prudential Bluechip Fund","Trent Ltd."
"ICICI Prudential Bluechip Fund","Zydus Lifesciences Ltd."
"ICICI Prudential Bluechip Fund","Vedanta Ltd."
"ICICI Prudential Bluechip Fund","Wipro Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Petroleum Corporation Ltd."
"ICICI Prudential Bluechip Fund","Dr. Reddy's Laboratories Ltd."
"ICICI Prudential Bluechip Fund","GAIL (India) Ltd."
"ICICI Prudential Bluechip Fund","Shree Cement Ltd."
"ICICI Prudential Bluechip Fund","Asian Paints Ltd."
"ICICI Prudential Bluechip Fund","Titan Co Ltd."
"ICICI Prudential Bluechip Fund","Mankind Pharma Ltd."
"ICICI Prudential Bluechip Fund","Muthoot Finance Ltd."
"ICICI Prudential Bluechip Fund","Cipla Ltd."
"Nippon India LargeCap Fund","SBI Cards and Payment Services Limited"
"Nippon India LargeCap Fund","HDFC Asset Management Co. Ltd."
"Nippon India LargeCap Fund","Hindustan Unilever Ltd."
"Nippon India LargeCap Fund","ICICI Bank Ltd."
"Nippon India LargeCap Fund","Infosys Ltd."
"Nippon India LargeCap Fund","ITC Ltd."
"Nippon India LargeCap Fund","Larsen & Toubro Ltd."
"Nippon India LargeCap Fund","Mahindra & Mahindra Ltd."
"Nippon India LargeCap Fund","Maruti Suzuki India Ltd."
"Nippon India LargeCap Fund","Reliance Industries Ltd."
"Nippon India LargeCap Fund","SBI Life Insurance Co. Ltd."
"Nippon India LargeCap Fund","Siemens Ltd."
"Nippon India LargeCap Fund","Tata Power Co. Ltd."
"Nippon India LargeCap Fund","Axis Bank Ltd."
"Nippon India LargeCap Fund","Zomato Ltd."
"Nippon India LargeCap Fund","The Indian Hotels Company Ltd."
"Nippon India LargeCap Fund","Tata Steel Ltd."
"Nippon India LargeCap Fund","Tata Motors Ltd."
"Nippon India LargeCap Fund","ABB India Ltd."
"Nippon India LargeCap Fund","NTPC Ltd."
"Nippon India LargeCap Fund","HDFC Bank Ltd."
"Nippon India LargeCap Fund","Bajaj Finance Ltd."
"Nippon India LargeCap Fund","Chalet Hotels Ltd."
"Nippon India LargeCap Fund","EIH Ltd."
"Nippon India LargeCap Fund","GE T&D India Ltd."
"Nippon India LargeCap Fund","State Bank of India"
"Nippon India LargeCap Fund","HCL Technologies Ltd."
"Quant Focused Fund","Reliance Industries Ltd."
"Quant Focused Fund","United Spirits Ltd."
"Quant Focused Fund","HDFC Life Insurance Co Ltd."
"Quant Focused Fund","HDFC Bank Ltd."
"Quant Focused Fund","Hindustan Unilever Ltd."
"Quant Focused Fund","Bajaj Finance Ltd."
"Quant Focused Fund","Marico Ltd."
"Quant Focused Fund","Asian Paints Ltd."
"Quant Focused Fund","Dr. Reddy's Laboratories Ltd."
"Quant Focused Fund","Tata Power Co. Ltd."
"Quant Focused Fund","Adani Power Ltd."
"Quant Focused Fund","Jio Financial Services Ltd."
"Quant Focused Fund","Life Insurance Corporation of India"
"Quant Focused Fund","Britannia Industries Ltd."
"Quant Focused Fund","Tata Consultancy Services Ltd."
"Quant Focused Fund","Adani Green Energy Ltd."
"Quant Focused Fund","HCL Technologies Ltd."
"Quant Focused Fund","Kotak Mahindra Bank Ltd."
