Net Asset Value,Repurchase Price,Sale Price,NAV date
30.6572,,,12-Aug-20
30.9772,,,13-Aug-20
30.5852,,,14-Aug-20
30.7245,,,17-Aug-20
31.0789,,,18-Aug-20
31.2353,,,19-Aug-20
31.297,,,20-Aug-20
31.5364,,,21-Aug-20
31.7019,,,24-Aug-20
31.819,,,25-Aug-20
31.9718,,,26-Aug-20
32.0535,,,27-Aug-20
32.4048,,,28-Aug-20
31.402,,,31-Aug-20
31.6164,,,01-Sep-20
31.8502,,,02-Sep-20
31.73,,,03-Sep-20
31.0172,,,04-Sep-20
31.0201,,,07-Sep-20
30.6521,,,08-Sep-20
30.3842,,,09-Sep-20
30.7552,,,10-Sep-20
30.7839,,,11-Sep-20
30.942,,,14-Sep-20
31.1942,,,15-Sep-20
31.2717,,,16-Sep-20
31.0142,,,17-Sep-20
30.9945,,,18-Sep-20
30.0656,,,21-Sep-20
29.8676,,,22-Sep-20
29.5833,,,23-Sep-20
28.6263,,,24-Sep-20
29.4147,,,25-Sep-20
29.9853,,,28-Sep-20
29.7494,,,29-Sep-20
29.5947,,,30-Sep-20
29.9999,,,01-Oct-20
30.2368,,,05-Oct-20
30.4268,,,06-Oct-20
30.4104,,,07-Oct-20
30.533,,,08-Oct-20
30.8276,,,09-Oct-20
30.7688,,,12-Oct-20
30.7109,,,13-Oct-20
30.7365,,,14-Oct-20
30.0128,,,15-Oct-20
30.3453,,,16-Oct-20
30.7381,,,19-Oct-20
30.7919,,,20-Oct-20
31.0472,,,21-Oct-20
31.1174,,,22-Oct-20
31.3329,,,23-Oct-20
30.7599,,,26-Oct-20
30.891,,,27-Oct-20
30.5254,,,28-Oct-20
30.3244,,,29-Oct-20
30.2957,,,30-Oct-20
30.576,,,02-Nov-20
30.9221,,,03-Nov-20
31.099,,,04-Nov-20
31.7689,,,05-Nov-20
32.0292,,,06-Nov-20
32.619,,,09-Nov-20
33.1405,,,10-Nov-20
33.5186,,,11-Nov-20
33.3749,,,12-Nov-20
33.4928,,,13-Nov-20
34.1061,,,17-Nov-20
34.3379,,,18-Nov-20
33.8921,,,19-Nov-20
34.0513,,,20-Nov-20
34.1112,,,23-Nov-20
34.4151,,,24-Nov-20
33.9274,,,25-Nov-20
34.3325,,,26-Nov-20
34.2934,,,27-Nov-20
34.7773,,,01-Dec-20
34.9945,,,02-Dec-20
35.2527,,,03-Dec-20
35.6472,,,04-Dec-20
36.1223,,,07-Dec-20
36.1518,,,08-Dec-20
36.3873,,,09-Dec-20
36.2195,,,10-Dec-20
36.3888,,,11-Dec-20
36.657,,,14-Dec-20
36.5682,,,15-Dec-20
36.8664,,,16-Dec-20
36.9102,,,17-Dec-20
36.989,,,18-Dec-20
35.4793,,,21-Dec-20
35.8976,,,22-Dec-20
36.5168,,,23-Dec-20
